INCIDENT_DATE,REG,FLT,OPID,AIRPORT_ID
2015-02-13 00:00:00,,,,KSJC
2015-02-13 00:00:00,,,,KSLC
2015-02-13 00:00:00,,,,KADS
2015-02-13 00:00:00,,,,KYIP
2015-02-13 00:00:00,,,,KBTR
2015-02-13 00:00:00,,,,KSPI
2015-02-13 00:00:00,,,,KDAB
2015-02-13 02:10:00,,,MIL,KBKF
2015-02-13 06:55:00,N228JB,675,JBU,KJFK
2015-02-13 07:40:00,N636WN,4366,SWA,KBNA
2015-02-13 09:45:00,N7188D,,BUS,KTIX
2015-02-13 10:21:00,ZK-OKR,8,ANZ,KSFO
2015-02-13 10:58:00,N948AN,1503,AAL,KDFW
2015-02-13 12:55:00,,2297,AAL,KDFW
2015-02-13 13:10:00,N930WN,335,SWA,KSMF
2015-02-13 13:20:00,N307PQ,3786,FLG,KCVG
2015-02-13 13:30:00,N815AW,511,AWE,KOMA
2015-02-13 14:00:00,N640CS,,DOJ,KYNG
2015-02-13 14:32:00,N14,370,GOV,KAFW
2015-02-13 16:00:00,N793CP,,BUS,PANC
2015-02-13 20:00:00,N488HAS,195,HAL,PHNL
2015-02-13 21:30:00,N989SK,2691,SKW,KSBA
2015-02-14 00:00:00,,,,KDEN
2015-02-14 00:00:00,,,,KDEN
2015-02-14 00:00:00,,,,KDEN
2015-02-14 00:00:00,,,,KDFW
2015-02-14 00:00:00,,,,KFTW
2015-02-14 00:00:00,,,,KSLC
